表名	字段名	字段路径	实际数据量	单表空值数	空值率	命名违规数	命名违规率	字段缺失数	字段缺失率	表达违规数	表达违规率	非标准数	非标准率	有值数	有值率	时间	表名	字段名	字段路径	实际数据量	单表空值数	空值率	命名违规数	命名违规率	字段缺失数	字段缺失率	表达违规数	表达违规率	非标准数	非标准率	有值数	有值率	
患者基本信息	患者现地址信息-邮政编码	current_address_info-zip_code	表名	字段名	字段路径	实际数据量	单表空值数	空值率	命名违规数	命名违规率	字段缺失数	字段缺失率	表达违规数	表达违规率	非标准数	非标准率	有值数	有值率	时间	表名	字段名	字段路径	实际数据量	单表空值数	空值率	命名违规数	命名违规率	字段缺失数	字段缺失率	表达违规数	表达违规率	非标准数	非标准率	有值数	有值率	
患者基本信息	患者现地址信息-邮政编码	current_address_info-zip_code	4761113.0	4761113.0	1.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	患者现地址信息-邮政编码	current_address_info-zip_code	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	过敏史-医渡唯一号	allergic_history-yidu_pkid	4761113.0	0.0	0.0	43225.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761113.0	1.0		患者基本信息	过敏史-医渡唯一号	allergic_history-yidu_pkid	4761117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761117.0	1.0	
患者基本信息	基本信息-户口地址	basic_info-domicile_place	4761113.0	4761113.0	1.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	基本信息-户口地址	basic_info-domicile_place	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	患者交叉索引-医疗机构名称	pix_domain-medical_institution_name	5082838.0	0.0	0.0	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5082838.0	1.0		患者基本信息	患者交叉索引-医疗机构名称	pix_domain-medical_institution_name	5082838.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5082838.0	1.0	
患者基本信息	患者医疗保险信息-医疗机构名称	medical_insurance-medical_institution_name	5031908.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5031908.0	1.0		患者基本信息	患者医疗保险信息-医疗机构名称	medical_insurance-medical_institution_name	5031910.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5031910.0	1.0	
患者基本信息	基本信息-户口地址-县（区）	basic_info-domicile_place_county	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	基本信息-户口地址-县（区）	basic_info-domicile_place_county	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	新生儿信息-新生儿标示	newborn_info-newborn_sn	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	新生儿信息-新生儿标示	newborn_info-newborn_sn	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	过敏史-过敏严重性名称	allergic_history-seriousness_name	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	过敏史-过敏严重性名称	allergic_history-seriousness_name	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	基本信息-户口地址-市（地区、州）	basic_info-domicile_place_city	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	基本信息-户口地址-市（地区、州）	basic_info-domicile_place_city	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
