title	type	test_type	year1	month1	_c5
检验记录日期年份分布	住院	微生物	2012	8	290
检验记录日期年份分布	住院	微生物	2012	9	2510
检验记录日期年份分布	住院	微生物	2012	10	2539
检验记录日期年份分布	住院	微生物	2012	11	2668
检验记录日期年份分布	住院	微生物	2012	12	2814
检验记录日期年份分布	住院	微生物	2013	1	2899
检验记录日期年份分布	住院	微生物	2013	2	2080
检验记录日期年份分布	住院	微生物	2013	3	2617
检验记录日期年份分布	住院	微生物	2013	4	2627
检验记录日期年份分布	住院	微生物	2013	5	2896
检验记录日期年份分布	住院	微生物	2013	6	2598
检验记录日期年份分布	住院	微生物	2013	7	2783
检验记录日期年份分布	住院	微生物	2013	8	2853
检验记录日期年份分布	住院	微生物	2013	9	2658
检验记录日期年份分布	住院	微生物	2013	10	2651
检验记录日期年份分布	住院	微生物	2013	11	2632
检验记录日期年份分布	住院	微生物	2013	12	2873
检验记录日期年份分布	住院	微生物	2014	1	2595
检验记录日期年份分布	住院	微生物	2014	2	2021
检验记录日期年份分布	住院	微生物	2014	3	2571
检验记录日期年份分布	住院	微生物	2014	4	3089
检验记录日期年份分布	住院	微生物	2014	5	2968
检验记录日期年份分布	住院	微生物	2014	6	3068
检验记录日期年份分布	住院	微生物	2014	7	3304
检验记录日期年份分布	住院	微生物	2014	8	3087
检验记录日期年份分布	住院	微生物	2014	9	3031
检验记录日期年份分布	住院	微生物	2014	10	3329
检验记录日期年份分布	住院	微生物	2014	11	2958
检验记录日期年份分布	住院	微生物	2014	12	3416
检验记录日期年份分布	住院	微生物	2015	1	3302
检验记录日期年份分布	住院	微生物	2015	2	2721
检验记录日期年份分布	住院	微生物	2015	3	3245
检验记录日期年份分布	住院	微生物	2015	4	3384
检验记录日期年份分布	住院	微生物	2015	5	3269
检验记录日期年份分布	住院	微生物	2015	6	3445
检验记录日期年份分布	住院	微生物	2015	7	3891
检验记录日期年份分布	住院	微生物	2015	8	3672
检验记录日期年份分布	住院	微生物	2015	9	3893
检验记录日期年份分布	住院	微生物	2015	10	3079
检验记录日期年份分布	住院	微生物	2015	11	3604
检验记录日期年份分布	住院	微生物	2015	12	3706
检验记录日期年份分布	住院	微生物	2016	1	3223
检验记录日期年份分布	住院	微生物	2016	2	2900
检验记录日期年份分布	住院	微生物	2016	3	3378
检验记录日期年份分布	住院	微生物	2016	4	3138
检验记录日期年份分布	住院	微生物	2016	5	3164
检验记录日期年份分布	住院	微生物	2016	6	3450
