_c0	visit_type	exam_type	year_time	month_time	_c5
检查日期分布	住院	CT	2013	7	13
检查日期分布	住院	CT	2013	8	842
检查日期分布	住院	CT	2013	9	509
检查日期分布	住院	CT	2013	10	1319
检查日期分布	住院	CT	2013	11	796
检查日期分布	住院	CT	2013	12	963
检查日期分布	住院	CT	2014	1	871
检查日期分布	住院	CT	2014	2	883
检查日期分布	住院	CT	2014	3	1034
检查日期分布	住院	CT	2014	4	966
检查日期分布	住院	CT	2014	5	905
检查日期分布	住院	CT	2014	6	947
检查日期分布	住院	CT	2014	7	1011
检查日期分布	住院	CT	2014	8	958
检查日期分布	住院	CT	2014	9	1030
检查日期分布	住院	CT	2014	10	931
检查日期分布	住院	CT	2014	11	878
检查日期分布	住院	CT	2014	12	997
检查日期分布	住院	CT	2015	1	1034
检查日期分布	住院	CT	2015	2	778
检查日期分布	住院	CT	2015	3	1056
检查日期分布	住院	CT	2015	4	1003
检查日期分布	住院	CT	2015	5	937
检查日期分布	住院	CT	2015	6	979
检查日期分布	住院	CT	2015	7	1048
检查日期分布	住院	CT	2015	8	1016
检查日期分布	住院	CT	2015	9	968
检查日期分布	住院	CT	2015	10	911
检查日期分布	住院	CT	2015	11	999
检查日期分布	住院	CT	2015	12	1109
检查日期分布	住院	CT	2016	1	1020
检查日期分布	住院	CT	2016	2	960
检查日期分布	住院	CT	2016	3	1114
检查日期分布	住院	CT	2016	4	1168
检查日期分布	住院	CT	2016	5	1173
检查日期分布	住院	CT	2016	6	1086
检查日期分布	住院	CT	2016	7	1056
检查日期分布	住院	CT	2016	8	1218
检查日期分布	住院	CT	2016	9	1149
检查日期分布	住院	CT	2016	10	1022
检查日期分布	住院	CT	2016	11	1120
检查日期分布	住院	CT	2016	12	1175
检查日期分布	住院	CT	2017	1	991
检查日期分布	住院	CT	2017	2	1192
检查日期分布	住院	CT	2017	3	1260
检查日期分布	住院	CT	2017	4	1122
检查日期分布	住院	CT	2017	5	1239
检查日期分布	住院	CT	2017	6	1161
检查日期分布	住院	CT	2017	7	1175
检查日期分布	住院	CT	2017	8	1290
检查日期分布	住院	CT	2017	9	1257
检查日期分布	住院	CT	2017	10	1134
检查日期分布	住院	CT	2017	11	1294
检查日期分布	住院	CT	2017	12	1262
检查日期分布	住院	CT	2018	1	1416
检查日期分布	住院	CT	2018	2	1066
检查日期分布	住院	CT	2018	3	1378
检查日期分布	住院	CT	2018	4	1238
检查日期分布	住院	CT	2018	5	1431
检查日期分布	住院	CT	2018	6	503
检查日期分布	住院	X线	NULL	NULL	63291
检查日期分布	住院	X线	2006	1	215
检查日期分布	住院	X线	2006	2	192
检查日期分布	住院	X线	2006	3	205
检查日期分布	住院	X线	2006	4	185
检查日期分布	住院	X线	2006	5	235
检查日期分布	住院	X线	2006	6	251
检查日期分布	住院	X线	2006	7	258
检查日期分布	住院	X线	2006	8	293
检查日期分布	住院	X线	2006	9	293
检查日期分布	住院	X线	2006	10	289
检查日期分布	住院	X线	2006	11	346
检查日期分布	住院	X线	2006	12	316
检查日期分布	住院	X线	2007	1	327
检查日期分布	住院	X线	2007	2	176
检查日期分布	住院	X线	2007	3	376
检查日期分布	住院	X线	2007	4	331
检查日期分布	住院	X线	2007	5	303
检查日期分布	住院	X线	2007	6	338
检查日期分布	住院	X线	2007	7	375
检查日期分布	住院	X线	2007	8	362
检查日期分布	住院	X线	2007	9	332
检查日期分布	住院	X线	2007	10	396
检查日期分布	住院	X线	2007	11	419
检查日期分布	住院	X线	2007	12	409
检查日期分布	住院	X线	2008	1	405
检查日期分布	住院	X线	2008	2	342
检查日期分布	住院	X线	2008	3	410
检查日期分布	住院	X线	2008	4	352
检查日期分布	住院	X线	2008	5	378
检查日期分布	住院	X线	2008	6	353
检查日期分布	住院	X线	2008	7	224
检查日期分布	住院	X线	2009	7	4
检查日期分布	住院	X线	2009	8	6
检查日期分布	住院	X线	2013	7	8
检查日期分布	住院	X线	2013	8	355
检查日期分布	住院	X线	2013	9	195
检查日期分布	住院	X线	2013	10	564
检查日期分布	住院	X线	2013	11	377
检查日期分布	住院	X线	2013	12	380
检查日期分布	住院	X线	2014	1	343
检查日期分布	住院	X线	2014	2	391
检查日期分布	住院	X线	2014	3	431
检查日期分布	住院	X线	2014	4	506
检查日期分布	住院	X线	2014	5	461
检查日期分布	住院	X线	2014	6	446
检查日期分布	住院	X线	2014	7	462
检查日期分布	住院	X线	2014	8	442
检查日期分布	住院	X线	2014	9	485
检查日期分布	住院	X线	2014	10	459
检查日期分布	住院	X线	2014	11	469
检查日期分布	住院	X线	2014	12	508
检查日期分布	住院	X线	2015	1	539
检查日期分布	住院	X线	2015	2	400
检查日期分布	住院	X线	2015	3	570
检查日期分布	住院	X线	2015	4	571
检查日期分布	住院	X线	2015	5	514
检查日期分布	住院	X线	2015	6	576
检查日期分布	住院	X线	2015	7	640
检查日期分布	住院	X线	2015	8	581
检查日期分布	住院	X线	2015	9	611
检查日期分布	住院	X线	2015	10	520
检查日期分布	住院	X线	2015	11	585
检查日期分布	住院	X线	2015	12	644
检查日期分布	住院	X线	2016	1	476
检查日期分布	住院	X线	2016	2	526
检查日期分布	住院	X线	2016	3	621
检查日期分布	住院	X线	2016	4	598
检查日期分布	住院	X线	2016	5	614
检查日期分布	住院	X线	2016	6	651
检查日期分布	住院	X线	2016	7	600
检查日期分布	住院	X线	2016	8	631
检查日期分布	住院	X线	2016	9	586
检查日期分布	住院	X线	2016	10	518
检查日期分布	住院	X线	2016	11	610
检查日期分布	住院	X线	2016	12	578
检查日期分布	住院	X线	2017	1	434
检查日期分布	住院	X线	2017	2	594
检查日期分布	住院	X线	2017	3	694
检查日期分布	住院	X线	2017	4	544
检查日期分布	住院	X线	2017	5	643
检查日期分布	住院	X线	2017	6	650
检查日期分布	住院	X线	2017	7	683
检查日期分布	住院	X线	2017	8	670
检查日期分布	住院	X线	2017	9	620
检查日期分布	住院	X线	2017	10	543
检查日期分布	住院	X线	2017	11	640
检查日期分布	住院	X线	2017	12	623
检查日期分布	住院	X线	2018	1	663
检查日期分布	住院	X线	2018	2	511
检查日期分布	住院	X线	2018	3	655
检查日期分布	住院	X线	2018	4	612
检查日期分布	住院	X线	2018	5	713
检查日期分布	住院	X线	2018	6	247
检查日期分布	住院	心电	NULL	NULL	5365
检查日期分布	住院	心电	2006	1	178
检查日期分布	住院	心电	2006	2	207
检查日期分布	住院	心电	2006	3	216
检查日期分布	住院	心电	2006	4	162
检查日期分布	住院	心电	2006	5	211
检查日期分布	住院	心电	2006	6	251
检查日期分布	住院	心电	2006	7	243
检查日期分布	住院	心电	2006	8	287
检查日期分布	住院	心电	2006	9	236
检查日期分布	住院	心电	2006	10	297
检查日期分布	住院	心电	2006	11	307
检查日期分布	住院	心电	2006	12	257
检查日期分布	住院	心电	2007	1	299
检查日期分布	住院	心电	2007	2	189
检查日期分布	住院	心电	2007	3	321
检查日期分布	住院	心电	2007	4	300
检查日期分布	住院	心电	2007	5	263
检查日期分布	住院	心电	2007	6	241
检查日期分布	住院	心电	2007	7	304
检查日期分布	住院	心电	2007	8	314
检查日期分布	住院	心电	2007	9	269
检查日期分布	住院	心电	2007	10	368
检查日期分布	住院	心电	2007	11	365
检查日期分布	住院	心电	2007	12	339
检查日期分布	住院	心电	2008	1	334
检查日期分布	住院	心电	2008	2	304
检查日期分布	住院	心电	2008	3	326
检查日期分布	住院	心电	2008	4	338
检查日期分布	住院	心电	2008	5	359
检查日期分布	住院	心电	2008	6	314
检查日期分布	住院	心电	2008	7	410
检查日期分布	住院	心电	2008	8	330
检查日期分布	住院	心电	2008	9	374
检查日期分布	住院	心电	2008	10	400
检查日期分布	住院	心电	2008	11	360
检查日期分布	住院	心电	2008	12	465
检查日期分布	住院	心电	2009	1	297
检查日期分布	住院	心电	2009	2	528
检查日期分布	住院	心电	2009	3	472
检查日期分布	住院	心电	2009	4	490
检查日期分布	住院	心电	2009	5	433
检查日期分布	住院	心电	2009	6	513
检查日期分布	住院	心电	2009	7	479
检查日期分布	住院	心电	2009	8	464
检查日期分布	住院	心电	2009	9	480
检查日期分布	住院	心电	2009	10	453
检查日期分布	住院	心电	2009	11	439
检查日期分布	住院	心电	2009	12	495
检查日期分布	住院	心电	2010	1	480
检查日期分布	住院	心电	2010	2	403
检查日期分布	住院	心电	2010	3	545
检查日期分布	住院	心电	2010	4	543
检查日期分布	住院	心电	2010	5	515
检查日期分布	住院	心电	2010	6	506
检查日期分布	住院	心电	2010	7	561
检查日期分布	住院	心电	2010	8	582
检查日期分布	住院	心电	2010	9	519
检查日期分布	住院	心电	2010	10	514
检查日期分布	住院	心电	2010	11	589
检查日期分布	住院	心电	2010	12	595
检查日期分布	住院	心电	2011	1	495
检查日期分布	住院	心电	2011	2	538
检查日期分布	住院	心电	2011	3	651
检查日期分布	住院	心电	2011	4	570
检查日期分布	住院	心电	2011	5	705
检查日期分布	住院	心电	2011	6	683
检查日期分布	住院	心电	2011	7	661
检查日期分布	住院	心电	2011	8	756
检查日期分布	住院	心电	2011	9	679
检查日期分布	住院	心电	2011	10	618
检查日期分布	住院	心电	2011	11	686
检查日期分布	住院	心电	2011	12	690
检查日期分布	住院	心电	2012	1	485
检查日期分布	住院	心电	2012	2	761
检查日期分布	住院	心电	2012	3	726
检查日期分布	住院	心电	2012	4	699
检查日期分布	住院	心电	2012	5	821
检查日期分布	住院	心电	2012	6	659
检查日期分布	住院	心电	2012	7	762
检查日期分布	住院	心电	2012	8	778
检查日期分布	住院	心电	2012	9	732
检查日期分布	住院	心电	2012	10	796
检查日期分布	住院	心电	2012	11	820
检查日期分布	住院	心电	2012	12	751
检查日期分布	住院	心电	2013	1	678
检查日期分布	住院	心电	2013	2	631
检查日期分布	住院	心电	2013	3	755
检查日期分布	住院	心电	2013	4	790
检查日期分布	住院	心电	2013	5	858
检查日期分布	住院	心电	2013	6	689
检查日期分布	住院	心电	2013	7	859
检查日期分布	住院	心电	2013	8	1214
检查日期分布	住院	心电	2013	9	1059
检查日期分布	住院	心电	2013	10	954
检查日期分布	住院	心电	2013	11	1110
检查日期分布	住院	心电	2013	12	1430
检查日期分布	住院	心电	2014	1	1005
检查日期分布	住院	心电	2014	2	1458
检查日期分布	住院	心电	2014	3	1433
检查日期分布	住院	心电	2014	4	1358
检查日期分布	住院	心电	2014	5	1130
检查日期分布	住院	心电	2014	6	1135
检查日期分布	住院	心电	2014	7	1015
检查日期分布	住院	心电	2014	8	1454
检查日期分布	住院	心电	2014	9	1301
检查日期分布	住院	心电	2014	10	1706
检查日期分布	住院	心电	2014	11	1641
检查日期分布	住院	心电	2014	12	1901
检查日期分布	住院	心电	2015	1	1945
检查日期分布	住院	心电	2015	2	1293
检查日期分布	住院	心电	2015	3	1974
检查日期分布	住院	心电	2015	4	1908
检查日期分布	住院	心电	2015	5	1775
检查日期分布	住院	心电	2015	6	1867
检查日期分布	住院	心电	2015	7	1941
检查日期分布	住院	心电	2015	8	1998
检查日期分布	住院	心电	2015	9	2020
检查日期分布	住院	心电	2015	10	1564
检查日期分布	住院	心电	2015	11	1661
检查日期分布	住院	心电	2015	12	2064
检查日期分布	住院	心电	2016	1	1867
检查日期分布	住院	心电	2016	2	1819
检查日期分布	住院	心电	2016	3	2325
检查日期分布	住院	心电	2016	4	2012
检查日期分布	住院	心电	2016	5	2347
检查日期分布	住院	心电	2016	6	2178
检查日期分布	住院	心电	2016	7	2241
检查日期分布	住院	心电	2016	8	2460
检查日期分布	住院	心电	2016	9	2237
检查日期分布	住院	心电	2016	10	2071
检查日期分布	住院	心电	2016	11	2361
检查日期分布	住院	心电	2016	12	2260
检查日期分布	住院	心电	2017	1	1675
检查日期分布	住院	心电	2017	2	2560
检查日期分布	住院	心电	2017	3	2482
检查日期分布	住院	心电	2017	4	2161
检查日期分布	住院	心电	2017	5	2417
检查日期分布	住院	心电	2017	6	2498
检查日期分布	住院	心电	2017	7	2433
检查日期分布	住院	心电	2017	8	2891
检查日期分布	住院	心电	2017	9	2630
检查日期分布	住院	心电	2017	10	2287
检查日期分布	住院	心电	2017	11	2661
检查日期分布	住院	心电	2017	12	2491
检查日期分布	住院	心电	2018	1	2817
检查日期分布	住院	心电	2018	2	2071
检查日期分布	住院	心电	2018	3	2704
检查日期分布	住院	心电	2018	4	2616
检查日期分布	住院	心电	2018	5	3474
检查日期分布	住院	心电	2018	6	1377
检查日期分布	住院	超声	NULL	NULL	2
检查日期分布	住院	超声	2006	1	332
检查日期分布	住院	超声	2006	2	306
检查日期分布	住院	超声	2006	3	359
检查日期分布	住院	超声	2006	4	310
检查日期分布	住院	超声	2006	5	366
检查日期分布	住院	超声	2006	6	492
检查日期分布	住院	超声	2006	7	466
检查日期分布	住院	超声	2006	8	500
检查日期分布	住院	超声	2006	9	487
检查日期分布	住院	超声	2006	10	541
检查日期分布	住院	超声	2006	11	577
检查日期分布	住院	超声	2006	12	529
检查日期分布	住院	超声	2007	1	550
检查日期分布	住院	超声	2007	2	299
检查日期分布	住院	超声	2007	3	681
检查日期分布	住院	超声	2007	4	649
检查日期分布	住院	超声	2007	5	518
检查日期分布	住院	超声	2007	6	643
检查日期分布	住院	超声	2007	7	675
检查日期分布	住院	超声	2007	8	720
检查日期分布	住院	超声	2007	9	630
检查日期分布	住院	超声	2007	10	716
检查日期分布	住院	超声	2007	11	879
检查日期分布	住院	超声	2007	12	786
检查日期分布	住院	超声	2008	1	828
检查日期分布	住院	超声	2008	2	629
检查日期分布	住院	超声	2008	3	871
检查日期分布	住院	超声	2008	4	682
检查日期分布	住院	超声	2008	5	836
检查日期分布	住院	超声	2008	6	714
检查日期分布	住院	超声	2008	7	872
检查日期分布	住院	超声	2008	8	724
检查日期分布	住院	超声	2008	9	752
检查日期分布	住院	超声	2008	10	796
检查日期分布	住院	超声	2008	11	773
检查日期分布	住院	超声	2008	12	1089
检查日期分布	住院	超声	2009	1	673
检查日期分布	住院	超声	2009	2	1202
检查日期分布	住院	超声	2009	3	1160
检查日期分布	住院	超声	2009	4	1167
检查日期分布	住院	超声	2009	5	1060
检查日期分布	住院	超声	2009	6	1310
检查日期分布	住院	超声	2009	7	1315
检查日期分布	住院	超声	2009	8	1101
检查日期分布	住院	超声	2009	9	1281
检查日期分布	住院	超声	2009	10	1058
检查日期分布	住院	超声	2009	11	1121
检查日期分布	住院	超声	2009	12	1253
检查日期分布	住院	超声	2010	1	1126
检查日期分布	住院	超声	2010	2	882
检查日期分布	住院	超声	2010	3	1481
检查日期分布	住院	超声	2010	4	1402
检查日期分布	住院	超声	2010	5	1327
检查日期分布	住院	超声	2010	6	1309
检查日期分布	住院	超声	2010	7	1502
检查日期分布	住院	超声	2010	8	1513
检查日期分布	住院	超声	2010	9	1462
检查日期分布	住院	超声	2010	10	1252
检查日期分布	住院	超声	2010	11	1436
检查日期分布	住院	超声	2010	12	1473
检查日期分布	住院	超声	2011	1	1141
检查日期分布	住院	超声	2011	2	1175
检查日期分布	住院	超声	2011	3	1756
检查日期分布	住院	超声	2011	4	1553
检查日期分布	住院	超声	2011	5	1648
检查日期分布	住院	超声	2011	6	1955
检查日期分布	住院	超声	2011	7	1757
检查日期分布	住院	超声	2011	8	1794
检查日期分布	住院	超声	2011	9	1701
检查日期分布	住院	超声	2011	10	1453
检查日期分布	住院	超声	2011	11	1755
检查日期分布	住院	超声	2011	12	1858
检查日期分布	住院	超声	2012	1	1099
检查日期分布	住院	超声	2012	2	2044
检查日期分布	住院	超声	2012	3	1986
检查日期分布	住院	超声	2012	4	1901
检查日期分布	住院	超声	2012	5	2142
检查日期分布	住院	超声	2012	6	1750
检查日期分布	住院	超声	2012	7	2033
检查日期分布	住院	超声	2012	8	2142
检查日期分布	住院	超声	2012	9	1946
检查日期分布	住院	超声	2012	10	1794
检查日期分布	住院	超声	2012	11	2014
检查日期分布	住院	超声	2012	12	1806
检查日期分布	住院	超声	2013	1	1833
检查日期分布	住院	超声	2013	2	1469
检查日期分布	住院	超声	2013	3	2030
检查日期分布	住院	超声	2013	4	2039
检查日期分布	住院	超声	2013	5	2190
检查日期分布	住院	超声	2013	6	1775
检查日期分布	住院	超声	2013	7	2385
检查日期分布	住院	超声	2013	8	2153
检查日期分布	住院	超声	2013	9	2290
检查日期分布	住院	超声	2013	10	2305
检查日期分布	住院	超声	2013	11	2184
检查日期分布	住院	超声	2013	12	2555
检查日期分布	住院	超声	2014	1	2082
检查日期分布	住院	超声	2014	2	2262
检查日期分布	住院	超声	2014	3	2490
检查日期分布	住院	超声	2014	4	2378
检查日期分布	住院	超声	2014	5	2394
检查日期分布	住院	超声	2014	6	2362
检查日期分布	住院	超声	2014	7	2440
检查日期分布	住院	超声	2014	8	2243
检查日期分布	住院	超声	2014	9	2241
检查日期分布	住院	超声	2014	10	2367
检查日期分布	住院	超声	2014	11	2288
检查日期分布	住院	超声	2014	12	2542
检查日期分布	住院	超声	2015	1	2667
检查日期分布	住院	超声	2015	2	1763
检查日期分布	住院	超声	2015	3	2758
检查日期分布	住院	超声	2015	4	2780
检查日期分布	住院	超声	2015	5	2453
检查日期分布	住院	超声	2015	6	2483
检查日期分布	住院	超声	2015	7	2727
检查日期分布	住院	超声	2015	8	2499
检查日期分布	住院	超声	2015	9	2524
检查日期分布	住院	超声	2015	10	2445
检查日期分布	住院	超声	2015	11	2553
检查日期分布	住院	超声	2015	12	2784
检查日期分布	住院	超声	2016	1	2314
检查日期分布	住院	超声	2016	2	2078
检查日期分布	住院	超声	2016	3	3029
检查日期分布	住院	超声	2016	4	2478
检查日期分布	住院	超声	2016	5	2730
检查日期分布	住院	超声	2016	6	2702
检查日期分布	住院	超声	2016	7	2725
检查日期分布	住院	超声	2016	8	3035
检查日期分布	住院	超声	2016	9	2676
检查日期分布	住院	超声	2016	10	2281
检查日期分布	住院	超声	2016	11	2860
检查日期分布	住院	超声	2016	12	2680
检查日期分布	住院	超声	2017	1	2100
检查日期分布	住院	超声	2017	2	3042
检查日期分布	住院	超声	2017	3	3107
检查日期分布	住院	超声	2017	4	2750
检查日期分布	住院	超声	2017	5	2991
检查日期分布	住院	超声	2017	6	3203
检查日期分布	住院	超声	2017	7	3047
检查日期分布	住院	超声	2017	8	3216
检查日期分布	住院	超声	2017	9	3148
检查日期分布	住院	超声	2017	10	2624
检查日期分布	住院	超声	2017	11	3120
检查日期分布	住院	超声	2017	12	2996
检查日期分布	住院	超声	2018	1	3485
检查日期分布	住院	超声	2018	2	2308
检查日期分布	住院	超声	2018	3	3331
检查日期分布	住院	超声	2018	4	3181
检查日期分布	住院	超声	2018	5	3356
检查日期分布	住院	超声	2018	6	1306
检查日期分布	急诊	CT	2013	7	1
检查日期分布	急诊	CT	2013	8	50
检查日期分布	急诊	CT	2013	9	28
检查日期分布	急诊	CT	2013	10	61
检查日期分布	急诊	CT	2013	11	32
检查日期分布	急诊	CT	2013	12	46
检查日期分布	急诊	CT	2014	1	55
检查日期分布	急诊	CT	2014	2	37
检查日期分布	急诊	CT	2014	3	43
检查日期分布	急诊	CT	2014	4	49
检查日期分布	急诊	CT	2014	5	31
检查日期分布	急诊	CT	2014	6	42
检查日期分布	急诊	CT	2014	7	49
检查日期分布	急诊	CT	2014	8	53
检查日期分布	急诊	CT	2014	9	51
检查日期分布	急诊	CT	2014	10	36
检查日期分布	急诊	CT	2014	11	23
检查日期分布	急诊	CT	2014	12	39
检查日期分布	急诊	CT	2015	1	24
检查日期分布	急诊	CT	2015	2	30
检查日期分布	急诊	CT	2015	3	38
检查日期分布	急诊	CT	2015	4	35
检查日期分布	急诊	CT	2015	5	39
检查日期分布	急诊	CT	2015	6	60
检查日期分布	急诊	CT	2015	7	61
检查日期分布	急诊	CT	2015	8	81
检查日期分布	急诊	CT	2015	9	65
检查日期分布	急诊	CT	2015	10	70
检查日期分布	急诊	CT	2015	11	59
检查日期分布	急诊	CT	2015	12	57
检查日期分布	急诊	CT	2016	1	56
检查日期分布	急诊	CT	2016	2	96
检查日期分布	急诊	CT	2016	3	61
检查日期分布	急诊	CT	2016	4	79
检查日期分布	急诊	CT	2016	5	83
检查日期分布	急诊	CT	2016	6	83
检查日期分布	急诊	CT	2016	7	79
检查日期分布	急诊	CT	2016	8	102
检查日期分布	急诊	CT	2016	9	79
检查日期分布	急诊	CT	2016	10	103
检查日期分布	急诊	CT	2016	11	93
检查日期分布	急诊	CT	2016	12	60
检查日期分布	急诊	CT	2017	1	100
检查日期分布	急诊	CT	2017	2	66
检查日期分布	急诊	CT	2017	3	73
检查日期分布	急诊	CT	2017	4	81
检查日期分布	急诊	CT	2017	5	97
检查日期分布	急诊	CT	2017	6	97
检查日期分布	急诊	CT	2017	7	96
检查日期分布	急诊	CT	2017	8	96
检查日期分布	急诊	CT	2017	9	67
检查日期分布	急诊	CT	2017	10	66
检查日期分布	急诊	CT	2017	11	64
检查日期分布	急诊	CT	2017	12	107
检查日期分布	急诊	CT	2018	1	97
检查日期分布	急诊	CT	2018	2	81
检查日期分布	急诊	CT	2018	3	79
检查日期分布	急诊	CT	2018	4	70
检查日期分布	急诊	CT	2018	5	84
检查日期分布	急诊	CT	2018	6	46
检查日期分布	急诊	X线	NULL	NULL	3167
检查日期分布	急诊	X线	2006	1	3
检查日期分布	急诊	X线	2006	2	4
