_c0	b1.diagnosis_type_name	visit_type	year1	month1	_c5
诊断记录表	入院诊断	住院	2014	8	1676
诊断记录表	入院诊断	住院	2014	9	1753
诊断记录表	入院诊断	住院	2014	10	1602
诊断记录表	入院诊断	住院	2014	11	1326
诊断记录表	入院诊断	住院	2014	12	1484
诊断记录表	入院诊断	住院	2015	1	1195
诊断记录表	入院诊断	住院	2015	2	1032
诊断记录表	入院诊断	住院	2015	3	1450
诊断记录表	入院诊断	住院	2015	4	1599
诊断记录表	入院诊断	住院	2015	5	1612
诊断记录表	入院诊断	住院	2015	6	1388
诊断记录表	入院诊断	住院	2015	7	1299
诊断记录表	入院诊断	住院	2015	8	1268
诊断记录表	入院诊断	住院	2015	9	1177
诊断记录表	入院诊断	住院	2015	10	1489
诊断记录表	入院诊断	住院	2015	11	1432
诊断记录表	入院诊断	住院	2015	12	1437
诊断记录表	入院诊断	住院	2016	1	1263
诊断记录表	入院诊断	住院	2016	2	1099
诊断记录表	入院诊断	住院	2016	3	1460
诊断记录表	入院诊断	住院	2016	4	1455
诊断记录表	入院诊断	住院	2016	5	1470
诊断记录表	入院诊断	住院	2016	6	1450
诊断记录表	入院诊断	住院	2016	7	1452
诊断记录表	入院诊断	住院	2016	8	1558
诊断记录表	入院诊断	住院	2016	9	1273
诊断记录表	入院诊断	住院	2016	10	1569
诊断记录表	入院诊断	住院	2016	11	1746
诊断记录表	入院诊断	住院	2016	12	1532
诊断记录表	入院诊断	住院	2017	1	996
诊断记录表	入院诊断	住院	2017	2	1523
诊断记录表	入院诊断	住院	2017	3	1662
诊断记录表	入院诊断	住院	2017	4	1566
诊断记录表	入院诊断	住院	2017	5	1494
诊断记录表	入院诊断	住院	2017	6	1502
诊断记录表	入院诊断	住院	2017	7	1529
诊断记录表	入院诊断	住院	2017	8	1607
诊断记录表	入院诊断	住院	2017	9	1830
诊断记录表	入院诊断	住院	2017	10	95
诊断记录表	入院诊断	急诊	2015	5	3
诊断记录表	入院诊断	急诊	2015	9	1
诊断记录表	入院诊断	急诊	2015	10	1
诊断记录表	入院诊断	急诊	2016	8	6
诊断记录表	入院诊断	急诊	2016	9	2
诊断记录表	入院诊断	急诊	2016	10	1
诊断记录表	入院诊断	急诊	2016	11	4
诊断记录表	入院诊断	急诊	2016	12	2
诊断记录表	入院诊断	急诊	2017	3	1
诊断记录表	入院诊断	急诊	2017	4	1
诊断记录表	入院诊断	急诊	2017	5	2
诊断记录表	入院诊断	急诊	2017	7	1
诊断记录表	入院诊断	急诊	2017	9	2
诊断记录表	入院诊断	门诊	2014	8	1
诊断记录表	入院诊断	门诊	2015	3	1
诊断记录表	入院诊断	门诊	2015	7	1
诊断记录表	入院诊断	门诊	2015	8	2
诊断记录表	入院诊断	门诊	2015	9	1
诊断记录表	入院诊断	门诊	2015	10	1
诊断记录表	入院诊断	门诊	2015	11	2
诊断记录表	入院诊断	门诊	2015	12	1
诊断记录表	入院诊断	门诊	2016	1	3
诊断记录表	入院诊断	门诊	2016	2	2
诊断记录表	入院诊断	门诊	2016	3	2
诊断记录表	入院诊断	门诊	2016	5	4
诊断记录表	入院诊断	门诊	2016	6	7
诊断记录表	入院诊断	门诊	2016	7	6
诊断记录表	入院诊断	门诊	2016	8	13
诊断记录表	入院诊断	门诊	2016	9	5
诊断记录表	入院诊断	门诊	2016	10	8
诊断记录表	入院诊断	门诊	2016	11	5
诊断记录表	入院诊断	门诊	2016	12	3
诊断记录表	入院诊断	门诊	2017	1	4
诊断记录表	入院诊断	门诊	2017	2	3
诊断记录表	入院诊断	门诊	2017	3	1
诊断记录表	入院诊断	门诊	2017	4	3
诊断记录表	入院诊断	门诊	2017	5	7
诊断记录表	入院诊断	门诊	2017	6	2
诊断记录表	入院诊断	门诊	2017	7	16
诊断记录表	入院诊断	门诊	2017	8	16
诊断记录表	入院诊断	门诊	2017	9	10
诊断记录表	出院诊断	住院	2014	8	847
诊断记录表	出院诊断	住院	2014	9	1554
诊断记录表	出院诊断	住院	2014	10	1271
诊断记录表	出院诊断	住院	2014	11	1039
诊断记录表	出院诊断	住院	2014	12	906
诊断记录表	出院诊断	住院	2015	1	903
诊断记录表	出院诊断	住院	2015	2	1013
诊断记录表	出院诊断	住院	2015	3	987
诊断记录表	出院诊断	住院	2015	4	997
诊断记录表	出院诊断	住院	2015	5	780
诊断记录表	出院诊断	住院	2015	6	607
诊断记录表	出院诊断	住院	2015	7	691
诊断记录表	出院诊断	住院	2015	8	651
诊断记录表	出院诊断	住院	2015	9	770
诊断记录表	出院诊断	住院	2015	10	651
诊断记录表	出院诊断	住院	2015	11	701
诊断记录表	出院诊断	住院	2015	12	789
诊断记录表	出院诊断	住院	2016	1	612
诊断记录表	出院诊断	住院	2016	2	512
诊断记录表	出院诊断	住院	2016	3	478
诊断记录表	出院诊断	住院	2016	4	511
诊断记录表	出院诊断	住院	2016	5	542
诊断记录表	出院诊断	住院	2016	6	567
诊断记录表	出院诊断	住院	2016	7	589
诊断记录表	出院诊断	住院	2016	8	512
诊断记录表	出院诊断	住院	2016	9	402
诊断记录表	出院诊断	住院	2016	10	335
诊断记录表	出院诊断	住院	2016	11	382
诊断记录表	出院诊断	住院	2016	12	315
诊断记录表	出院诊断	住院	2017	1	343
诊断记录表	出院诊断	住院	2017	2	351
诊断记录表	出院诊断	住院	2017	3	303
诊断记录表	出院诊断	住院	2017	4	253
诊断记录表	出院诊断	住院	2017	5	307
诊断记录表	出院诊断	住院	2017	6	316
诊断记录表	出院诊断	住院	2017	7	417
诊断记录表	出院诊断	住院	2017	8	365
诊断记录表	出院诊断	住院	2017	9	389
诊断记录表	出院诊断	住院	2017	10	24
诊断记录表	出院诊断	急诊	2015	4	1
诊断记录表	出院诊断	急诊	2015	11	1
诊断记录表	出院诊断	急诊	2016	4	1
诊断记录表	出院诊断	急诊	2016	11	1
诊断记录表	出院诊断	门诊	2015	9	1
诊断记录表	出院诊断	门诊	2015	10	1
诊断记录表	出院诊断	门诊	2015	12	4
诊断记录表	出院诊断	门诊	2016	1	1
诊断记录表	出院诊断	门诊	2016	4	2
诊断记录表	出院诊断	门诊	2016	12	2
诊断记录表	出院诊断	门诊	2017	1	2
诊断记录表	出院诊断	门诊	2017	3	1
诊断记录表	出院诊断	门诊	2017	4	2
诊断记录表	出院诊断	门诊	2017	5	2
诊断记录表	出院诊断	门诊	2017	6	1
诊断记录表	出院诊断	门诊	2017	7	5
诊断记录表	出院诊断	门诊	2017	9	2
诊断记录表	门诊诊断	住院	2014	8	4287
诊断记录表	门诊诊断	住院	2014	9	5786
诊断记录表	门诊诊断	住院	2014	10	5666
诊断记录表	门诊诊断	住院	2014	11	5201
诊断记录表	门诊诊断	住院	2014	12	5394
诊断记录表	门诊诊断	住院	2015	1	4878
诊断记录表	门诊诊断	住院	2015	2	3836
诊断记录表	门诊诊断	住院	2015	3	5714
诊断记录表	门诊诊断	住院	2015	4	16246
诊断记录表	门诊诊断	住院	2015	5	16587
诊断记录表	门诊诊断	住院	2015	6	15992
诊断记录表	门诊诊断	住院	2015	7	16172
诊断记录表	门诊诊断	住院	2015	8	16153
诊断记录表	门诊诊断	住院	2015	9	14534
诊断记录表	门诊诊断	住院	2015	10	16261
诊断记录表	门诊诊断	住院	2015	11	16281
诊断记录表	门诊诊断	住院	2015	12	17258
诊断记录表	门诊诊断	住院	2016	1	16468
诊断记录表	门诊诊断	住院	2016	2	15108
诊断记录表	门诊诊断	住院	2016	3	20696
诊断记录表	门诊诊断	住院	2016	4	18676
诊断记录表	门诊诊断	住院	2016	5	18684
诊断记录表	门诊诊断	住院	2016	6	16660
诊断记录表	门诊诊断	住院	2016	7	17804
诊断记录表	门诊诊断	住院	2016	8	18619
诊断记录表	门诊诊断	住院	2016	9	17296
诊断记录表	门诊诊断	住院	2016	10	18684
诊断记录表	门诊诊断	住院	2016	11	20182
诊断记录表	门诊诊断	住院	2016	12	19117
诊断记录表	门诊诊断	住院	2017	1	15825
诊断记录表	门诊诊断	住院	2017	2	21097
诊断记录表	门诊诊断	住院	2017	3	22347
诊断记录表	门诊诊断	住院	2017	4	20446
诊断记录表	门诊诊断	住院	2017	5	22072
诊断记录表	门诊诊断	住院	2017	6	20478
诊断记录表	门诊诊断	住院	2017	7	21643
诊断记录表	门诊诊断	住院	2017	8	22738
诊断记录表	门诊诊断	住院	2017	9	20671
诊断记录表	门诊诊断	住院	2017	10	1791
诊断记录表	门诊诊断	急诊	2014	8	4731
诊断记录表	门诊诊断	急诊	2014	9	6233
诊断记录表	门诊诊断	急诊	2014	10	5871
诊断记录表	门诊诊断	急诊	2014	11	5932
诊断记录表	门诊诊断	急诊	2014	12	8246
诊断记录表	门诊诊断	急诊	2015	1	8275
诊断记录表	门诊诊断	急诊	2015	2	6415
诊断记录表	门诊诊断	急诊	2015	3	6430
诊断记录表	门诊诊断	急诊	2015	4	6625
诊断记录表	门诊诊断	急诊	2015	5	6754
诊断记录表	门诊诊断	急诊	2015	6	6861
诊断记录表	门诊诊断	急诊	2015	7	6821
诊断记录表	门诊诊断	急诊	2015	8	7745
诊断记录表	门诊诊断	急诊	2015	9	7002
诊断记录表	门诊诊断	急诊	2015	10	6449
诊断记录表	门诊诊断	急诊	2015	11	6646
诊断记录表	门诊诊断	急诊	2015	12	7713
诊断记录表	门诊诊断	急诊	2016	1	9671
诊断记录表	门诊诊断	急诊	2016	2	8438
诊断记录表	门诊诊断	急诊	2016	3	9326
诊断记录表	门诊诊断	急诊	2016	4	8668
诊断记录表	门诊诊断	急诊	2016	5	8463
诊断记录表	门诊诊断	急诊	2016	6	8255
诊断记录表	门诊诊断	急诊	2016	7	8429
诊断记录表	门诊诊断	急诊	2016	8	8394
诊断记录表	门诊诊断	急诊	2016	9	7942
诊断记录表	门诊诊断	急诊	2016	10	7407
诊断记录表	门诊诊断	急诊	2016	11	7226
诊断记录表	门诊诊断	急诊	2016	12	8654
诊断记录表	门诊诊断	急诊	2017	1	8515
诊断记录表	门诊诊断	急诊	2017	2	7423
诊断记录表	门诊诊断	急诊	2017	3	8258
诊断记录表	门诊诊断	急诊	2017	4	7955
诊断记录表	门诊诊断	急诊	2017	5	8523
诊断记录表	门诊诊断	急诊	2017	6	8762
诊断记录表	门诊诊断	急诊	2017	7	9334
诊断记录表	门诊诊断	急诊	2017	8	9253
诊断记录表	门诊诊断	急诊	2017	9	8700
诊断记录表	门诊诊断	急诊	2017	10	1240
诊断记录表	门诊诊断	门诊	2014	8	84564
诊断记录表	门诊诊断	门诊	2014	9	119902
诊断记录表	门诊诊断	门诊	2014	10	114784
诊断记录表	门诊诊断	门诊	2014	11	117105
诊断记录表	门诊诊断	门诊	2014	12	144090
诊断记录表	门诊诊断	门诊	2015	1	119223
诊断记录表	门诊诊断	门诊	2015	2	97910
诊断记录表	门诊诊断	门诊	2015	3	127179
诊断记录表	门诊诊断	门诊	2015	4	122089
诊断记录表	门诊诊断	门诊	2015	5	126286
诊断记录表	门诊诊断	门诊	2015	6	137726
诊断记录表	门诊诊断	门诊	2015	7	138952
诊断记录表	门诊诊断	门诊	2015	8	137696
诊断记录表	门诊诊断	门诊	2015	9	141130
诊断记录表	门诊诊断	门诊	2015	10	133423
诊断记录表	门诊诊断	门诊	2015	11	133794
诊断记录表	门诊诊断	门诊	2015	12	164552
诊断记录表	门诊诊断	门诊	2016	1	131899
诊断记录表	门诊诊断	门诊	2016	2	116950
诊断记录表	门诊诊断	门诊	2016	3	150845
诊断记录表	门诊诊断	门诊	2016	4	135087
诊断记录表	门诊诊断	门诊	2016	5	140824
诊断记录表	门诊诊断	门诊	2016	6	132776
